Anbudsdag;Likviddag;Förfallodag;Räntesats (%);Erbjuden volym (mdkr);Totalt budbelopp (mdkr);Tilldelad volym (mdkr);Antal bud;Tilldelningsprocent (%);ISIN
2024-09-03;2024-09-04;2024-09-11;3.5;941.0;861.7;861.7;19;100.0;SE0022759437
2024-09-10;2024-09-11;2024-09-18;3.5;942.0;775.85;775.85;19;100.0;SE0022760443
2024-09-17;2024-09-18;2024-09-25;3.5;894.0;769.45;769.45;19;100.0;SE0023111703
2024-09-24;2024-09-25;2024-10-02;3.5;870.0;783.88;783.88;19;100.0;SE0023112636
2024-10-01;2024-10-02;2024-10-09;3.25;846.0;766.45;766.45;19;100.0;SE0023113782
2024-10-08;2024-10-09;2024-10-16;3.25;846.0;726.6;726.6;20;100.0;SE0023114749
2024-10-15;2024-10-16;2024-10-23;3.25;844.0;795.0;795.0;20;100.0;SE0023260732
2024-10-22;2024-10-23;2024-10-30;3.25;843.0;695.15;695.15;19;100.0;SE0023261342
2024-10-29;2024-10-30;2024-11-06;3.25;842.0;794.35;794.35;19;100.0;SE0023286976
2024-11-05;2024-11-06;2024-11-13;3.25;838.0;764.6;764.6;20;100.0;SE0023312608
2024-11-12;2024-11-13;2024-11-20;2.75;835.0;770.15;770.15;19;100.0;SE0023313408
2024-11-19;2024-11-20;2024-11-27;2.75;836.0;738.5;738.5;18;100.0;SE0023439955
2024-11-26;2024-11-27;2024-12-04;2.75;818.0;682.66;682.66;19;100.0;SE0023441688
2024-12-03;2024-12-04;2024-12-11;2.75;816.0;777.57;777.57;20;100.0;SE0023467816
2024-12-10;2024-12-11;2024-12-18;2.75;812.0;655.9;655.9;20;100.0;SE0023468699
2024-12-17;2024-12-18;2025-01-08;2.75;792.0;554.45;554.45;17;100.0;SE0023595251
2025-01-07;2025-01-08;2025-01-15;2.5;790.0;647.75;647.75;17;100.0;SE0023641139
2025-01-14;2025-01-15;2025-01-22;2.5;791.0;675.1;675.1;20;100.0;SE0023837190
2025-01-21;2025-01-22;2025-01-29;2.5;790.0;650.4;650.4;19;100.0;SE0023848205
2025-01-28;2025-01-29;2025-02-05;2.5;791.0;669.25;669.25;21;100.0;SE0023849054
2025-02-04;2025-02-05;2025-02-12;2.25;787.0;646.45;646.45;20;100.0;SE0023874920
2025-02-11;2025-02-12;2025-02-19;2.25;788.0;655.2;655.2;21;100.0;SE0023950928
2025-02-18;2025-02-19;2025-02-26;2.25;786.0;660.25;660.25;20;100.0;SE0024171748
2025-02-25;2025-02-26;2025-03-05;2.25;786.0;629.65;629.65;21;100.0;SE0024172795
2025-03-04;2025-03-05;2025-03-12;2.25;781.0;675.3;675.3;20;100.0;SE0024193965
2025-03-11;2025-03-12;2025-03-19;2.25;784.0;627.7;627.7;20;100.0;SE0024220099
2025-03-18;2025-03-19;2025-03-26;2.25;782.0;718.7;718.7;19;100.0;SE0024321103
2025-03-25;2025-03-26;2025-04-02;2.25;781.0;605.4;605.4;20;100.0;SE0024346761
2025-04-01;2025-04-02;2025-04-09;2.25;776.0;629.15;629.15;20;100.0;SE0024417372
2025-04-08;2025-04-09;2025-04-16;2.25;777.0;589.75;589.75;20;100.0;SE0024718241
2025-04-15;2025-04-16;2025-04-23;2.25;775.0;631.85;631.85;20;100.0;SE0024989644
2025-04-22;2025-04-23;2025-04-30;2.25;775.0;616.3;616.3;18;100.0;SE0024990121
2025-04-29;2025-04-30;2025-05-07;2.25;775.0;663.25;663.25;20;100.0;SE0025010994
2025-05-06;2025-05-07;2025-05-14;2.25;710.0;675.8;675.8;19;100.0;SE0025011919
2025-05-13;2025-05-14;2025-05-21;2.25;707.0;609.15;609.15;18;100.0;SE0025138225
2025-05-20;2025-05-21;2025-05-28;2.25;706.0;611.6;611.6;18;100.0;SE0025159494
2025-05-27;2025-05-28;2025-06-04;2.25;688.0;592.9;592.9;16;100.0;SE0025165822
2025-06-03;2025-06-04;2025-06-11;2.25;691.0;629.85;629.85;17;100.0;SE0025196827
2025-06-10;2025-06-11;2025-06-18;2.25;675.0;557.75;557.75;16;100.0;SE0025197916
2025-06-17;2025-06-18;2025-06-25;2.25;662.0;519.2;519.2;14;100.0;SE0025399181
2025-06-24;2025-06-25;2025-07-02;2.0;658.0;553.45;553.45;16;100.0;SE0025399959
2025-07-01;2025-07-02;2025-07-09;2.0;657.0;532.45;532.45;17;100.0;SE0025420896
2025-07-08;2025-07-09;2025-07-16;2.0;657.0;514.4;514.4;15;100.0;SE0025491640
2025-07-15;2025-07-16;2025-07-23;2.0;656.0;540.9;540.9;15;100.0;SE0025666977
2025-07-22;2025-07-23;2025-07-30;2.0;658.0;541.45;541.45;14;100.0;SE0025667132
2025-07-29;2025-07-30;2025-08-06;2.0;660.0;529.4;529.4;15;100.0;SE0025667447
2025-08-05;2025-08-06;2025-08-13;2.0;661.0;546.1;546.1;15;100.0;SE0025817703
2025-08-12;2025-08-13;2025-08-20;2.0;661.0;612.85;612.85;16;100.0;SE0025938004
2025-08-19;2025-08-20;2025-08-27;2.0;661.0;540.1;540.1;15;100.0;SE0026141236
2025-08-26;2025-08-27;2025-09-03;2.0;661.0;570.0;570.0;14;100.0;SE0026142580
2025-09-02;2025-09-03;2025-09-10;2.0;640.0;502.6;502.6;16;100.0;SE0026193641
2025-09-09;2025-09-10;2025-09-17;2.0;639.0;532.15;532.15;16;100.0;SE0026274938
2025-09-16;2025-09-17;2025-09-24;2.0;612.0;413.1;413.1;16;100.0;SE0026526808
2025-09-23;2025-09-24;2025-10-01;2.0;612.0;481.8;481.8;15;100.0;SE0026577744
2025-09-30;2025-10-01;2025-10-08;1.75;610.0;460.4;460.4;15;100.0;SE0026598708
2025-10-07;2025-10-08;2025-10-15;1.75;609.0;526.4;526.4;13;100.0;SE0026599607
2025-10-14;2025-10-15;2025-10-22;1.75;566.0;428.9;428.9;15;100.0;SE0026820524
2025-10-21;2025-10-22;2025-10-29;1.75;566.0;476.9;476.9;14;100.0;SE0026821365
2025-11-04;2025-11-05;2025-11-12;1.75;566.0;408.4;408.4;13;100.0;SE0026852832
2025-11-11;2025-11-12;2025-11-19;1.75;562.0;363.35;363.35;12;100.0;SE0026875999
2025-11-18;2025-11-19;2025-11-26;1.75;562.0;430.7;430.7;14;100.0;SE0027077199
2025-11-25;2025-11-26;2025-12-03;1.75;559.0;427.05;427.05;14;100.0;SE0027098237
2025-12-02;2025-12-03;2025-12-10;1.75;556.0;416.0;416.0;12;100.0;SE0027099417
2025-12-09;2025-12-10;2025-12-17;1.75;553.0;479.4;479.4;15;100.0;SE0027100306
2025-12-16;2025-12-17;2026-01-07;1.75;537.0;382.0;382.0;13;100.0;SE0027301151
2026-01-05;2026-01-07;2026-01-14;1.75;538.0;451.4;451.4;13;100.0;SE0027352113
2026-01-13;2026-01-14;2026-01-21;1.75;538.0;453.6;453.6;16;100.0;SE0027597964
2026-01-20;2026-01-21;2026-01-28;1.75;539.0;503.4;503.4;16;100.0;SE0027618943
2026-01-27;2026-01-28;2026-02-04;1.75;538.0;470.2;470.2;17;100.0;SE0027620329
2026-02-03;2026-02-04;2026-02-11;1.75;521.0;416.6;416.6;16;100.0;SE0027666371
2026-02-10;2026-02-11;2026-02-18;1.75;521.0;458.3;458.3;15;100.0;SE0027767823
2026-02-17;2026-02-18;2026-02-25;1.75;521.0;358.6;358.6;14;100.0;SE0027999061
2026-02-24;2026-02-25;2026-03-04;1.75;522.0;398.7;398.7;14;100.0;SE0028000257
2026-03-03;2026-03-04;2026-03-11;1.75;521.0;370.9;370.9;14;100.0;SE0028027003
